,Unnamed: 0,location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,population_male,population_female,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
45,45,GB_UKC,2020-02-15,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,6.644444,2.6,9.583333,1.524,0.0,5.654321,90.925049
46,46,GB_UKC,2020-02-16,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,5.255556,3.094444,7.905556,20.610286,0.0,1.766667,78.583108
47,47,GB_UKC,2020-02-17,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,4.811111,2.488889,7.294444,1.233714,0.0,1.716667,80.822602
48,48,GB_UKC,2020-02-18,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,3.344444,1.505556,5.466667,1.233714,0.0,1.35,87.111853
49,49,GB_UKC,2020-02-19,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,4.138889,1.361111,7.605556,2.286,0.0,2.416667,88.703311
50,50,GB_UKC,2020-02-20,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,4.888889,1.8,8.061111,9.579429,0.0,2.766667,86.349575
51,51,GB_UKC,2020-02-21,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,6.638889,2.744444,9.094444,9.821333,0.0,4.794444,88.34508
52,52,GB_UKC,2020-02-22,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,4.788889,2.444444,8.833333,12.808857,0.0,2.038889,82.74446
53,53,GB_UKC,2020-02-23,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,3.327778,1.972222,5.111111,5.406571,0.0,1.277778,86.763569
54,54,GB_UKC,2020-02-24,ChIJ3Q2olMBwfkgRnE54BhKtjYY,Q47983,nuts/UKC,GB,United Kingdom,UKC,North East England,GB,GBR,1,0.0,0.0,0.0,0.0,2656980,1304887,1352093,309.3,298210,294269,357129,325662,314165,375460,315895,237914,138276,81863408600,30798,151164,55.0,-1.866667,8592,79.8,2.188889,-0.25,5.783333,3.120571,10.16,1.111111,92.715342
